"Target","Evidence"
"ARMT1","predicted (intersection) + predicted (union)"
"ARNT2","experimental (all) + predicted (intersection) + predicted (union)"
"ARNTL2","predicted (union)"
"ARPC2","predicted (intersection) + predicted (union)"
"ARPIN","predicted (intersection) + predicted (union)"
"ARPIN-AP3S2","predicted (intersection) + predicted (union)"
"ARPP19","predicted (intersection) + predicted (union)"
"ARPP21","predicted (union)"
"ARRB1","predicted (intersection) + predicted (union)"
"ARRDC2","predicted (union)"
"ARRDC3","predicted (union)"
"ARRDC4","predicted (intersection) + predicted (union)"
"ARSA","predicted (union)"
"ARSB","predicted (union)"
"ARSD","predicted (union)"
"ARSE","predicted (union)"
"ARSK","predicted (intersection) + predicted (union)"
"AS3MT","predicted (union)"
"ASAH2","predicted (intersection) + predicted (union)"
"ASAH2B","predicted (intersection) + predicted (union)"
"ASAP1","predicted (union)"
"ASAP2","predicted (intersection) + predicted (union)"
"ASB1","predicted (union)"
"ASB4","predicted (intersection) + predicted (union)"
"ASB6","predicted (intersection) + predicted (union)"
"ASB7","predicted (union)"
"ASCC1","predicted (union)"
"ASCC3","predicted (union)"
"ASCL1","predicted (intersection) + predicted (union)"
"ASH2L","predicted (intersection) + predicted (union)"
"ASIC1","predicted (intersection) + predicted (union)"
"ASMT","predicted (union)"
"ASPA","predicted (union)"
"ASPH","predicted (intersection) + predicted (union)"
"ASPHD2","predicted (intersection) + predicted (union)"
"ASTN1","predicted (union)"
"ASTN2","predicted (intersection) + predicted (union)"
"ASXL1","predicted (union)"
"ASXL2","predicted (union)"
"ATAD1","predicted (intersection) + predicted (union)"
"ATAD2B","predicted (intersection) + predicted (union)"
"ATAD3C","predicted (intersection) + predicted (union)"
"ATAD5","predicted (intersection) + predicted (union)"
"ATCAY","predicted (intersection) + predicted (union)"
"ATF3","predicted (union)"
"ATF5","predicted (union)"
"ATF6","predicted (union)"
"ATF7","predicted (intersection) + predicted (union)"
"ATF7IP","predicted (intersection) + predicted (union)"
"ATG10","predicted (intersection) + predicted (union)"
"ATG12","experimental (all) + predicted (intersection) + predicted (union)"
"ATG13","predicted (intersection) + predicted (union)"
"ATG16L1","predicted (union)"
"ATG3","predicted (union)"
"ATG4B","predicted (intersection) + predicted (union)"
"ATG7","predicted (union)"
"ATG9A","experimental (all) + predicted (union)"
"ATIC","predicted (intersection) + predicted (union)"
"ATL2","predicted (intersection) + predicted (union)"
"ATL3","predicted (union)"
"ATM","predicted (intersection) + predicted (union)"
"ATOH8","predicted (union)"
"ATP10A","predicted (union)"
"ATP10B","predicted (intersection) + predicted (union)"
"ATP10D","predicted (intersection) + predicted (union)"
"ATP11A","predicted (intersection) + predicted (union)"
"ATP11B","predicted (union)"
"ATP11C","predicted (union)"
"ATP13A2","predicted (union)"
"ATP1B2","predicted (union)"
"ATP1B4","predicted (intersection) + predicted (union)"
"ATP2A3","predicted (union)"
"ATP2B1","predicted (intersection) + predicted (union)"
"ATP2B3","predicted (intersection) + predicted (union)"
"ATP2B4","predicted (intersection) + predicted (union)"
"ATP2C1","predicted (union)"
"ATP5F1A","predicted (intersection) + predicted (union)"
"ATP5F1B","predicted (union)"
"ATP5F1E","predicted (union)"
"ATP5IF1","predicted (union)"
"ATP5MC1","predicted (intersection) + predicted (union)"
"ATP5MC3","predicted (intersection) + predicted (union)"
"ATP5MF-PTCD1","predicted (union)"
"ATP5MPL","predicted (union)"
"ATP5PB","predicted (intersection) + predicted (union)"
"ATP6V0A2","predicted (intersection) + predicted (union)"
"ATP6V0D1","predicted (union)"
"ATP6V0D2","predicted (union)"
"ATP6V0E1","predicted (union)"
"ATP6V1A","predicted (union)"
"ATP6V1B2","predicted (intersection) + predicted (union)"
"ATP6V1E1","predicted (union)"
"ATP6V1F","experimental (all) + predicted (intersection) + predicted (union)"
"ATP6V1G1","experimental (all) + predicted (intersection) + predicted (union)"
"ATP7A","predicted (union)"
"ATP7B","predicted (intersection) + predicted (union)"
"ATP8A1","predicted (intersection) + predicted (union)"
"ATP8A2","predicted (intersection) + predicted (union)"
"ATP8B2","predicted (union)"
"ATP8B4","predicted (intersection) + predicted (union)"
"ATXN1","predicted (intersection) + predicted (union)"
"ATXN1L","predicted (intersection) + predicted (union)"
"ATXN2","experimental (all)"
"ATXN2L","experimental (all)"
"ATXN7","predicted (intersection) + predicted (union)"
"ATXN7L1","predicted (union)"
"ATXN7L2","predicted (union)"
"ATXN7L3","experimental (all) + predicted (intersection) + predicted (union)"
"ATXN7L3B","experimental (all) + predicted (intersection) + predicted (union)"
"AUNIP","predicted (union)"
"AURKB","experimental (strong) + experimental (all) + predicted (intersection) + predicted (union)"
"AVEN","predicted (intersection) + predicted (union)"
"AVL9","predicted (intersection) + predicted (union)"
"AVPI1","predicted (union)"
"AVPR1A","predicted (intersection) + predicted (union)"
"AWAT2","predicted (intersection) + predicted (union)"
"AXIN2","predicted (union)"
"AXL","predicted (union)"
"AZIN1","predicted (union)"
"B3GALNT2","predicted (intersection) + predicted (union)"
"B3GALT1","predicted (intersection) + predicted (union)"
"B3GALT2","predicted (intersection) + predicted (union)"
"B3GALT5","predicted (intersection) + predicted (union)"
"B3GAT1","predicted (intersection) + predicted (union)"
"B3GAT2","predicted (union)"
"B3GAT3","predicted (intersection) + predicted (union)"
"B3GNT2","predicted (union)"
"B3GNT5","predicted (intersection) + predicted (union)"
"B3GNT7","predicted (intersection) + predicted (union)"
"B4GALNT2","predicted (union)"
"B4GALNT3","predicted (union)"
"B4GALT1","predicted (union)"
"B4GALT4","predicted (union)"
